group,family,genus,species
Trichoptera,Phryganeidae,Agrypnia,Agrypnia obsoleta
Bivalvia,Unionidae,Unio,Unio tumidus
Trichoptera,Limnephilini,Limnephilus,Limnephilus binotatus
Odonata,Calopterygidae,Calopteryx,Calopteryx virgo
Odonata,Coenagrionidae,Pyrrhosoma,Pyrrhosoma nymphula
Coleoptera,Hydroporinae,Hygrotus,Hygrotus
Plecoptera,Perlodidae,Isoperla,Isoperla grammatica
Coleoptera,Helodidae,Scirtes,Scirtes
Gastropoda,Planorbidae,Planorbis,Planorbis
Trichoptera,Goeridae,Silo,Silo
Gastropoda,Physidae,Aplexa,Aplexa hypnorum
Plecoptera,Leuctridae,Leuctra,Leuctra
Trichoptera,Limnephilini,Anabolia,Anabolia
Oligochaeta,Tubificidae,Peloscolex,Peloscolex
Diptera,Ceratopogonidae,Ceratopogonidae,Ceratopogon vermiformis
Plecoptera,Perlodidae,Isoperla,Isoperla
Plecoptera,Capniidae,Capnia,Capnia bifrons
Plecoptera,Leuctridae,Leuctra,Leuctra fusca
Gastropoda,Planorbidae,Anisus,Anisus
Brachycera,Syrphidae,Chrysogaster,Chrysogaster
Diptera,Culicidae,Culicidae,Culicidae
Coleoptera,Hydrochidae,Hydrochus,Hydrochus
Coleoptera,Noteridae,Noterus,Noterus crassicornis
Coleoptera,Haliplidae,Haliplus,Haliplus confinis
Diptera,Psychodidae,Satchelliella,Satchelliella
Diptera,Tabanidae,Chrysops,Chrysops
Lepidoptera,Pyralidae,Pyralidae,Pyralidae
Chironomidae,Orthocladiinae,Epoicocladius,Epoicocladius ephemerae
Coleoptera,Dryopidae,Dryops,Dryops
Diptera,Athericidae,Chrysophilus,Chrysophilus auratus
Cladocera,Cladocera,Cladocera,Cladocera
Chironomidae,Chironomini,Paratendipes,Paratendipes albimanus
Chironomidae,Orthocladiinae,Paratrichocladius,Paratrichocladius rufiventris
Chironomidae,Orthocladiinae,Orthocladius,Orthocladius obumbratus
Brachycera,Scatophagidae,Scatophagidae,Scatophagidae
Odonata,Aeshnidae,Brachytron,Brachytron pratense
Trichoptera,Hydroptilidae,Hydroptilidae,Hydroptilidae
Chironomidae,Orthocladiinae,Eukiefferiella,Eukiefferiella brevicalcar
Diptera,Simuliidae,Simulium,Simulium rostratum
Diptera,Simuliidae,Simulium,Simulium latipes
Diptera,Psychodidae,Clytocerus,Clytocerus ocellaris
Coleoptera,Hydrophilinae,Chaetarthria,Chaetarthria seminulum
Cladocera,Cladocera,Cladocera,Cladocera
Nemertini,Nemertini,Nemertini,Nemertini
Plecoptera,Taeniopterygidae,Brachyptera,Brachyptera
Gastropoda,Acroloxidae,Acroloxus,Acroloxus
Ephemeroptera,Siphlonuridae,Siphlonurus,Siphlonurus aestivalis
Heteroptera,Corixidae,Callicorixa,Callicorixa
Coleoptera,Dytiscidae,Ilybius,Ilybius
Coleoptera,Dytiscidae,Ilybius,Ilybius ater
Trichoptera,Stenophylachini,Stenophylax,Stenophylax permistus
Coleoptera,Hydrophilinae,Cymbiodyta,Cymbiodyta marginella
Gastropoda,Planorbidae,Gyraulus,Gyraulus
Oligochaeta,Lumbriculidae,Stylodrilus,Stylodrilus
Coleoptera,Helodidae,Elodes,Elodes marginata
Diptera,Tipulidae,Tipula,Tipula lateralis
Trichoptera,Goeridae,Goera,Goera
Coleoptera,Haliplidae,Haliplidae,Haliplidae
Diptera,Diptera,Diptera,Diptera
Brachycera,Syrphidae,Syrphidae,Syrphidae
Trichoptera,Phryganeidae,Phryganea,Phryganea
Chironomidae,Orthocladiinae,Cricotopus,Cricotopus bicinctus
Chironomidae,Tanytarsini,Rheotanytarsus,Rheotanytarsus curtistylus
Coleoptera,Elmidae,Elmis,Elmis
Diptera,Stratiomyiidae,Beris,Beris
Diptera,Ceratopogonidae,Forcipomyia,Forcipomyia
Chironomidae,Tanytarsini,Micropsectra,Micropsectra notescens
Oligochaeta,Haplotaxidae,Haplotaxis,Haplotaxis gordioides
Diptera,Culicidae,Aedes,Aedes annulipes
Coleoptera,Hydraenidae,Ochthebius,Ochthebius dilatatus
Diptera,Chaoboridae,Chaoborus,Chaoborus
Copepoda,Branchiura,Argulus,Argulus foliaceus
Oligochaeta,Tubificidae,Tubifex,Tubifex ignotus
Chironomidae,Chironomini,Phaenopsectra,Phaenopsectra
Chironomidae,Tanytarsini,Micropsectra,Micropsectra atrofasciata
Chironomidae,Orthocladiinae,Nanocladius,Nanocladius rectinervis
Nematomorpha,Gordiidae,Gordius,Gordius aquaticus
Diptera,Limoniidae,Euphylidorea,Euphylidorea lineola
Coleoptera,Dytiscidae,Agabus,Agabus undulatus
Coleoptera,Hydroporinae,Hydroporus,Hydroporus erythrocephalus
Coleoptera,Hydrophilinae,Enochrus,Enochrus bicolor
Coleoptera,Helophorinae,Helophorus,Helophorus flavipes
Diptera,Simuliidae,Simulium,Simulium costatum
Coleoptera,Hydrophilinae,Helochares,Helochares
Coleoptera,Spaeridiinae,Cercyon,Cercyon tristis
Chironomidae,Tanytarsini,Tanytarsus,Tanytarsus usmaensis
Chironomidae,Orthocladiinae,Orthocladius,Orthocladius glabripennis
Gastropoda,Zonitidae,Zonitoides,Zonitoides nitidus
Coleoptera,Hydroporinae,Nebrioporus,Nebrioporus
Diptera,Limoniidae,Rhypholophus,Rhypholophus
Brachycera,Syrphidae,Eristalis,Eristalis
Coleoptera,Hydroporinae,Hydroporus,Hydroporus nigrita
Chironomidae,Tanypodinae,Xenopelopia,Xenopelopia
Coleoptera,Dytiscidae,Rhantus,Rhantus
Coleoptera,Dytiscidae,Colymbetes,Colymbetes
Coleoptera,Haliplidae,Haliplus,Haliplus furcatus
Chironomidae,Tanypodinae,Procladius,Procladius choreus
Coleoptera,Hydroporinae,Hygrotus,Hygrotus versicolor
Odonata,Libellulidae,Libellula,Libellula depressa
Coleoptera,Helophorinae,Helophorus,Helophorus minutus
Coleoptera,Hydrophilinae,Hydrochara,Hydrochara caraboides
Trichoptera,Limnephilini,Limnephilus,Limnephilus vittatus
Coleoptera,Haliplidae,Haliplus,Haliplus variegatus
Coleoptera,Dytiscinae,Dytiscus,Dytiscus marginalis
Coleoptera,Dytiscidae,Agabus,Agabus nebulosus
Trichoptera,Limnephilini,Colpotaulius,Colpotaulius incisus
Oligochaeta,Propappidae,Propappus,Propappus volki
Chironomidae,Tanytarsini,Micropsectra,Micropsectra recurvata
Coleoptera,Dytiscidae,Agabus,Agabus guttatus
Coleoptera,Dytiscidae,Agabus,Agabus neglectus
Chironomidae,Orthocladiinae,Psectrocladius,Psectrocladius sordidellus
Coleoptera,Haliplidae,Haliplus,Haliplus laminatus
Odonata,Corduliidae,Somatochlora,Somatochlora metallica
Chironomidae,Chironomini,Polypedilum,Polypedilum bicrenatum
Coleoptera,Haliplidae,Peltodytes,Peltodytes caesus
Coleoptera,Haliplidae,Haliplus,Haliplus fulvus
Odonata,Coenagrionidae,Ischnura,Ischnura elegans
Heteroptera,Corixidae,Corixa,Corixa
Heteroptera,Notonectidae,Notonecta,Notonecta maculata
